group,metric,value
exclusive_group_1_core_strict,primary_archetype_12=Explorer/Seeker,2330
exclusive_group_1_core_strict,primary_archetype_12=Everyman/Orphan,1599
exclusive_group_1_core_strict,primary_archetype_12=Sage/Investigator,1211
exclusive_group_1_core_strict,primary_archetype_12=Rebel/Outlaw,980
exclusive_group_1_core_strict,primary_archetype_12=Ruler/Leader,800
exclusive_group_1_core_strict,primary_archetype_12=Creator/Artist,600
exclusive_group_1_core_strict,primary_archetype_12=Magician/Transformer,596
exclusive_group_1_core_strict,primary_archetype_12=Jester/Trickster,589
exclusive_group_1_core_strict,primary_archetype_12=Lover,505
exclusive_group_1_core_strict,primary_archetype_12=Caregiver/Guardian,383
exclusive_group_1_core_strict,primary_archetype_12=Innocent,304
exclusive_group_1_core_strict,llm6_model_used=gpt-5.4-mini,12944
exclusive_group_1_core_strict,llm6_model_used=gpt-5.5,415
exclusive_group_1_core_strict,llm6_has_clear_main_protagonist=yes,13359
exclusive_group_1_core_strict,llm6_suggested_include_in_final_corpus=yes,13359
exclusive_group_1_core_strict,shadow_load_category=none,8078
exclusive_group_1_core_strict,shadow_load_category=low,3280
exclusive_group_1_core_strict,shadow_load_category=medium,1574
exclusive_group_1_core_strict,shadow_load_category=high,427
exclusive_group_1_core_strict,rank_bin_5000=1-5000,2692
exclusive_group_1_core_strict,rank_bin_5000=5001-10000,2489
exclusive_group_1_core_strict,rank_bin_5000=10001-15000,1942
exclusive_group_1_core_strict,rank_bin_5000=15001-20000,1640
exclusive_group_1_core_strict,rank_bin_5000=20001-25000,1288
exclusive_group_1_core_strict,rank_bin_5000=25001-30000,983
exclusive_group_1_core_strict,rank_bin_5000=30001-35000,840
exclusive_group_1_core_strict,rank_bin_5000=35001-40000,629
exclusive_group_1_core_strict,rank_bin_5000=40001-45000,473
exclusive_group_1_core_strict,rank_bin_5000=45001-50000,383
exclusive_group_2_core_broad_nonreview,rows,1228
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Hero/Warrior,325
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Explorer/Seeker,207
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Everyman/Orphan,131
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Sage/Investigator,102
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Rebel/Outlaw,99
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Ruler/Leader,91
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Magician/Transformer,67
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Jester/Trickster,63
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Creator/Artist,61
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Lover,35
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Innocent,26
exclusive_group_2_core_broad_nonreview,primary_archetype_12=Caregiver/Guardian,21
exclusive_group_2_core_broad_nonreview,llm6_model_used=gpt-5.4-mini,1228
exclusive_group_2_core_broad_nonreview,llm6_has_clear_main_protagonist=yes,1228
exclusive_group_2_core_broad_nonreview,llm6_suggested_include_in_final_corpus=yes,1228
exclusive_group_2_core_broad_nonreview,shadow_load_category=none,766
exclusive_group_2_core_broad_nonreview,shadow_load_category=low,285
exclusive_group_2_core_broad_nonreview,shadow_load_category=medium,149
exclusive_group_2_core_broad_nonreview,shadow_load_category=high,28
exclusive_group_2_core_broad_nonreview,rank_bin_5000=15001-20000,230
exclusive_group_2_core_broad_nonreview,rank_bin_5000=20001-25000,166
exclusive_group_2_core_broad_nonreview,rank_bin_5000=10001-15000,162
exclusive_group_2_core_broad_nonreview,rank_bin_5000=25001-30000,139
exclusive_group_2_core_broad_nonreview,rank_bin_5000=30001-35000,109
exclusive_group_2_core_broad_nonreview,rank_bin_5000=35001-40000,109
exclusive_group_2_core_broad_nonreview,rank_bin_5000=45001-50000,102
exclusive_group_2_core_broad_nonreview,rank_bin_5000=5001-10000,97
exclusive_group_2_core_broad_nonreview,rank_bin_5000=40001-45000,68
exclusive_group_2_core_broad_nonreview,rank_bin_5000=1-5000,46
exclusive_group_3_review_pool_noncorestrict,rows,32945
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Not applicable,8592
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Uncertain,8431
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Hero/Warrior,3320
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Explorer/Seeker,2815
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Everyman/Orphan,2087
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Rebel/Outlaw,1124
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Ruler/Leader,1113
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Sage/Investigator,1080
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Jester/Trickster,1051
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Magician/Transformer,988
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Creator/Artist,933
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Lover,624
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Innocent,407
exclusive_group_3_review_pool_noncorestrict,primary_archetype_12=Caregiver/Guardian,380
