original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1982,13,4604,Millipede,Main Game,Arcade | Shooter,Action,Multiplayer | Single player,Arcade | Atari 8-bit | Atari ST/STE | PC (Microsoft Windows) | Web browser,5.5,85.0,True
1982,14,4618,Pooyan,Main Game,Arcade | Puzzle | Shooter,Action,Multiplayer | Single player,Apple II | Arcade | Atari 2600 | Atari 8-bit | Commodore C64/128/MAX | Family Computer | MSX | Nintendo Entertainment System | TRS-80 Color Computer | Wii | Wii U,5.5,81.0,True
1982,15,12314,Moon Patrol,Main Game,Arcade | Shooter,Action | Science fiction,Multiplayer | Single player,Apple II | Arcade | Atari 2600 | Atari ST/STE | Commodore C64/128/MAX | Commodore VIC-20 | DOS | MSX | Texas Instruments TI-99,5.5,76.0,True
1983,1,3105,Mario Bros.,Main Game,Arcade | Platform,Action,Co-operative | Multiplayer | Single player,Arcade,5.5,336.0,True
1983,2,4603,Lode Runner,Main Game,Platform | Puzzle,Action | Science fiction,Single player,Amstrad CPC | Apple II | Arcade | Atari 8-bit | Atari ST/STE | BBC Microcomputer System | Commodore C64/128/MAX | Commodore VIC-20 | DOS | FM-7 | MSX | Mac | NEC PC-6000 Series | PC-8800 Series | PC-9800 Series | SG-1000 | Sharp X1 | Windows Phone | WonderSwan | ZX Spectrum,5.5,160.0,True
1983,3,4248,Dragon's Lair,Main Game,Adventure | Arcade,Action | Fantasy,Single player,3DO Interactive Multiplayer | Amiga | Android | Arcade | Atari Jaguar | Atari Jaguar CD | Atari ST/STE | Blu-ray Player | DOS | DVD Player | Mac | Philips CD-i | PlayStation 3 | Sega CD | Xbox 360 | iOS,5.5,144.0,True
1983,4,4599,Elevator Action,Main Game,Arcade | Platform | Shooter,Action | Stealth,Multiplayer | Single player,Amstrad CPC | Arcade | Atari 2600 | Commodore C64/128/MAX | FM-7 | MSX | PC-8800 Series | Sharp X1 | ZX Spectrum,5.5,136.0,True
1983,5,4592,Antarctic Adventure,Main Game,Arcade | Platform | Racing,Action,Multiplayer | Single player,ColecoVision | Family Computer | MSX | Wii | Wii U,4.0,126.0,True
1983,6,4167,Spy Hunter,Main Game,Arcade | Racing | Shooter,Action,Multiplayer | Single player,Amstrad CPC | Apple II | Arcade | Atari 2600 | Atari 8-bit | BBC Microcomputer System | ColecoVision | Commodore C64/128/MAX | DOS | ZX Spectrum,4.0,118.0,True
1983,7,1088,Donkey Kong 3,Main Game,Arcade | Platform | Shooter,Action,Single player,Arcade,5.5,111.0,True
