original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1988,15,12224,Silk Worm,Main Game,Arcade | Shooter,Action | Science fiction,Co-operative | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | Nintendo Entertainment System | ZX Spectrum,5.5,81.0,True
1989,1,1069,Super Mario Land,Main Game,Platform,Action | Fantasy | Science fiction,Single player,Game Boy | Nintendo 3DS,5.5,933.0,True
1989,2,2472,Prince of Persia,Main Game,Adventure | Platform | Puzzle,Action,Single player,Apple II,5.5,792.0,True
1989,3,5565,Golden Axe,Main Game,Arcade | Hack and slash/Beat 'em up,Action | Fantasy,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | PlayStation 3 | Turbografx-16/PC Engine CD | Wii | WonderSwan Color | Xbox 360 | Xbox One | ZX Spectrum,5.5,662.0,True
1989,4,6487,Disney's DuckTales,Main Game,Platform,Comedy | Kids,Single player,Family Computer | Nintendo Entertainment System | Wii,5.5,526.0,True
1989,5,1655,Final Fight,Main Game,Arcade | Hack and slash/Beat 'em up,Action,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | Sharp X68000 | ZX Spectrum | iOS,5.5,444.0,True
1989,6,1272,SimCity,Main Game,Simulator | Strategy,Business | Sandbox,Single player,Acorn Archimedes | Acorn Electron | Amiga | Amstrad CPC | Atari ST/STE | BBC Microcomputer System | Commodore C64/128/MAX | DOS | FM Towns | Mac | PC (Microsoft Windows) | PC-9800 Series | Sharp X68000 | ZX Spectrum,1.0,432.0,True
1989,7,3815,Teenage Mutant Ninja Turtles,Main Game,Adventure | Arcade | Fighting | Hack and slash/Beat 'em up,Action,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | Xbox 360,5.5,332.0,True
1989,8,186,Indiana Jones and the Last Crusade: The Graphic Adventure,Main Game,Adventure | Point-and-click | Puzzle,Action | Comedy | Fantasy | Historical,Single player,Amiga | Atari ST/STE | DOS | FM Towns | Linux | Mac | PC (Microsoft Windows),5.5,222.0,True
1989,9,3327,The Revenge of Shinobi,Main Game,Hack and slash/Beat 'em up | Platform,Action,Single player,Android | Linux | Mac | PC (Microsoft Windows) | PlayStation 3 | Sega Mega Drive/Genesis | Wii | Xbox 360 | iOS,5.5,189.0,True
1989,10,1118,Castlevania: The Adventure,Main Game,Adventure | Platform,Action,Single player,Game Boy | Nintendo 3DS,5.5,148.0,True
1989,11,49226,Batman: The Video Game,Main Game,Platform,Action,Single player,Family Computer | Nintendo Entertainment System,5.5,147.0,True
1989,12,6823,Buster Bros.,Main Game,Arcade | Platform | Shooter,Action,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | Super Nintendo Entertainment System | Turbografx-16/PC Engine CD | ZX Spectrum,5.5,141.0,True
1989,13,6969,Strider,Main Game,Arcade | Platform,Action | Science fiction,Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | PlayStation | Sega Master System/Mark III | Sega Mega Drive/Genesis | Sharp X68000 | Wii | Wii U | ZX Spectrum,5.5,141.0,True
1989,14,248,Populous,Main Game,Real Time Strategy (RTS) | Role-playing (RPG) | Simulator | Strategy,Fantasy | Sandbox,Multiplayer | Single player,Acorn Archimedes | Amiga | Atari ST/STE | DOS | Mac | PC (Microsoft Windows) | PC-9800 Series | Sega Master System/Mark III | Sega Mega Drive/Genesis | Sharp X68000 | Super Nintendo Entertainment System | TurboGrafx-16/PC Engine,4.0,141.0,True
1989,15,3662,Adventures of Lolo,Main Game,Adventure | Puzzle | Strategy,Action | Fantasy,Single player,Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,4.0,128.0,True
1990,1,1070,Super Mario World,Main Game,Adventure | Platform,Action | Fantasy,Multiplayer | Single player,Arcade | New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,5968.0,True
1990,2,60,The Secret of Monkey Island,Main Game,Adventure | Point-and-click | Puzzle,Comedy | Historical,Single player,Amiga | Atari ST/STE | DOS | FM Towns | Mac | Sega CD,5.5,1474.0,True
1990,3,3476,Dr. Mario,Main Game,Puzzle | Strategy,Fantasy | Science fiction,Multiplayer | Single player | Split screen,Arcade | Family Computer | Nintendo Entertainment System | Wii U,4.0,618.0,True
1990,4,1716,Mega Man 3,Main Game,Platform | Shooter,Action | Science fiction,Single player,Arcade | Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,600.0,True
1990,5,3490,F-Zero,Main Game,Racing,Action | Science fiction,Single player,Arcade | New Nintendo 3DS | Satellaview | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,2.0,568.0,True
1990,6,6490,Disney's Chip 'n Dale Rescue Rangers,Main Game,Adventure | Platform,Action | Comedy,Co-operative | Multiplayer | Single player,Arcade | Family Computer | Nintendo Entertainment System,5.5,405.0,True
1990,7,377,Metal Gear 2: Solid Snake,Main Game,Adventure | Shooter | Tactical,Action | Stealth | Survival,Single player,MSX2 | Wii,5.5,315.0,True
1990,8,5421,Microsoft Minesweeper,Main Game,Puzzle,,Single player,PC (Microsoft Windows),4.5,291.0,True
1990,9,191,Loom,Main Game,Adventure | Point-and-click | Puzzle | Simulator | Strategy,Fantasy | Historical,Single player,Amiga | Atari ST/STE | DOS | FM Towns | Linux | Mac | PC (Microsoft Windows) | Turbografx-16/PC Engine CD,4.0,282.0,True
1990,10,8122,Castle of Illusion Starring Mickey Mouse,Main Game,Platform,Action | Comedy | Fantasy | Kids,Single player,Sega Mega Drive/Genesis | Sega Saturn,5.5,238.0,True
1990,11,6468,ActRaiser,Main Game,Platform | Simulator | Strategy,Action | Fantasy,Single player,Arcade | Satellaview | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,4.0,210.0,True
1990,12,8177,Microsoft Solitaire,Main Game,Card & Board Game,,Single player,PC (Microsoft Windows),1.0,195.0,True
1990,13,15540,Ninja Gaiden II: The Dark Sword of Chaos,Main Game,Adventure | Arcade | Hack and slash/Beat 'em up | Platform,Action,Single player,Arcade | Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,174.0,True
1990,14,4446,Columns,Main Game,Puzzle | Strategy,Educational | Fantasy,Multiplayer | Single player | Split screen,Arcade | FM Towns | Linux | Mac | PC (Microsoft Windows) | Sega Mega Drive/Genesis | Sharp X68000 | Super Famicom | TurboGrafx-16/PC Engine | Wii,4.0,168.0,True
1990,15,18139,Michael Jackson's Moonwalker,Main Game,Hack and slash/Beat 'em up | Platform,Action | Science fiction,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Atari ST/STE | Commodore C64/128/MAX | DOS | MSX | Sega Mega Drive/Genesis | ZX Spectrum,5.5,156.0,True
1991,1,1026,The Legend of Zelda: A Link to the Past,Main Game,Adventure | Puzzle,Action | Fantasy,Single player,New Nintendo 3DS | Satellaview | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,5065.0,True
1991,2,3192,Sonic the Hedgehog,Main Game,Platform,Action | Fantasy | Science fiction,Single player,Arcade | PC (Microsoft Windows) | PlayStation 3 | Sega Mega Drive/Genesis | Wii | Xbox 360 | iOS,5.5,1871.0,True
1991,3,61,Monkey Island 2: LeChuck's Revenge,Main Game,Adventure | Point-and-click | Puzzle,Action | Comedy | Historical,Single player,Amiga | DOS | Mac,5.5,1761.0,True
1991,4,3186,Street Fighter II,Main Game,Arcade | Fighting,Action | Science fiction,Multiplayer | Single player,Arcade,5.5,1122.0,True
1991,5,902,Sid Meier's Civilization,Main Game,Strategy | Turn-based strategy (TBS),"4X (explore, expand, exploit, and exterminate) | Historical",Single player,Amiga | Atari ST/STE | DOS | Mac | PC (Microsoft Windows) | PC-9800 Series,2.0,780.0,True
1991,6,1652,Streets of Rage,Main Game,Hack and slash/Beat 'em up,Action | Science fiction,Co-operative | Multiplayer | Single player,Android | Arcade | Linux | Mac | PC (Microsoft Windows) | Sega Mega Drive/Genesis | Wii | iOS,5.5,642.0,True
1991,7,4348,Out of This World,Main Game,Adventure | Platform,Action | Science fiction,Single player,Amiga | Atari ST/STE | Game Boy Advance,5.5,597.0,True
1991,8,16587,Final Fantasy IV,Main Game,Adventure | Role-playing (RPG),Fantasy,Single player,New Nintendo 3DS | Super Famicom | Wii | Wii U,5.5,594.0,True
1991,9,4239,Lemmings,Main Game,Puzzle,Action | Comedy,Multiplayer | Single player | Split screen,Acorn Archimedes | Amiga | Amiga CD32 | Commodore CDTV,5.5,492.0,True
1991,10,2970,Battletoads,Main Game,Hack and slash/Beat 'em up | Platform,Action | Comedy | Science fiction,Co-operative | Multiplayer | Single player,Amiga | Amiga CD32 | Family Computer | Nintendo Entertainment System | Sega Game Gear,5.5,447.0,True
1991,11,1717,Mega Man 4,Main Game,Platform | Shooter,Action | Science fiction,Single player,Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,402.0,True
1991,12,1102,Metroid II: Return of Samus,Main Game,Adventure | Platform | Shooter,Action | Science fiction,Single player,Game Boy | Nintendo 3DS,5.5,280.0,True
1991,13,6621,Super Ghouls'n Ghosts,Main Game,Adventure | Platform,Action | Fantasy | Horror,Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Web browser | Wii | Wii U,5.5,280.0,True
1991,14,4370,Sunset Riders,Main Game,Arcade | Shooter,Action | Historical,Co-operative | Multiplayer | Single player,Arcade,5.5,279.0,True
1991,15,14731,Teenage Mutant Ninja Turtles III: The Manhattan Project,Main Game,Adventure | Arcade | Hack and slash/Beat 'em up,Action | Fantasy,Co-operative | Multiplayer | Single player,Family Computer | Nintendo Entertainment System,5.5,240.0,True
1992,1,4438,Sonic the Hedgehog 2,Main Game,Platform,Action | Science fiction,Co-operative | Multiplayer | Single player | Split screen,Nintendo 3DS | PC (Microsoft Windows) | PlayStation 3 | Sega Mega Drive/Genesis | Wii | Wii U | Xbox 360,5.5,1823.0,True
1992,2,2332,Super Mario Kart,Main Game,Arcade | Racing,Fantasy | Party,Multiplayer | Single player | Split screen,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,4.0,1360.0,True
1992,3,184,Indiana Jones and the Fate of Atlantis,Main Game,Adventure | Point-and-click | Puzzle,Action | Comedy | Fantasy | Historical | Thriller,Single player,Amiga | DOS | Linux | Mac | PC (Microsoft Windows),5.5,1266.0,True
1992,4,1618,Mortal Kombat,Main Game,Fighting,Action,Multiplayer | Single player,Amiga | Arcade | DOS,5.5,882.0,True
1992,5,1071,Super Mario Land 2: 6 Golden Coins,Main Game,Platform,Action,Single player,Game Boy | Nintendo 3DS,5.5,618.0,True
1992,6,1653,Streets of Rage 2,Main Game,Arcade | Hack and slash/Beat 'em up,Action,Co-operative | Multiplayer | Single player,Android | Arcade | Linux | Mac | PC (Microsoft Windows) | PlayStation 3 | Sega Mega Drive/Genesis | Wii | Xbox 360 | iOS,5.5,601.0,True
1992,7,1063,Kirby's Dream Land,Main Game,Platform,Action | Fantasy | Kids,Single player,Game Boy | Nintendo 3DS,5.5,549.0,True
1992,8,419,Final Fantasy V,Main Game,Adventure | Role-playing (RPG),Action | Fantasy | Open world,Single player,Super Famicom | Wii,5.5,396.0,True
1992,9,6351,Contra III: The Alien Wars,Main Game,Adventure | Shooter,Action | Science fiction,Co-operative | Multiplayer | Single player | Split screen,Arcade | New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,378.0,True
1992,10,4275,Flashback: The Quest for Identity,Main Game,Adventure | Platform,Action | Science fiction,Single player,3DO Interactive Multiplayer | Acorn Archimedes | Amiga | Atari Jaguar | DOS | Mac | Philips CD-i | Sega CD | Sega Mega Drive/Genesis | Super Nintendo Entertainment System,5.5,339.0,True
1992,11,86,Dune II: The Building of a Dynasty,Main Game,Real Time Strategy (RTS) | Strategy,Science fiction,Single player,Acorn Archimedes | Amiga | DOS | Sega Mega Drive/Genesis,2.0,327.0,True
1992,12,1718,Mega Man 5,Main Game,Platform | Shooter,Action | Science fiction,Single player,Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,315.0,True
1992,13,5378,Ecco the Dolphin,Main Game,Adventure,Action | Science fiction,Single player,Linux | Mac | PC (Microsoft Windows) | Sega CD | Sega Mega Drive/Genesis | Wii | Xbox 360 | iOS,5.5,265.0,True
1992,14,1956,Alone in the Dark,Main Game,Adventure | Puzzle,Action | Fantasy | Historical | Horror | Survival,Single player,3DO Interactive Multiplayer | Acorn Archimedes | DOS | FM Towns | Mac | PC (Microsoft Windows) | PC-9800 Series,5.5,253.0,True
1992,15,8203,Mario Paint,Main Game,Music | Puzzle | Simulator,Educational | Kids,Single player,Super Famicom | Super Nintendo Entertainment System,3.0,207.0,True
1993,1,673,Doom,Main Game,Shooter,Action | Horror | Science fiction,Co-operative | Multiplayer | Single player,DOS | Linux | PC-9800 Series | Windows Mobile,5.5,2976.0,True
1993,2,193,Day of the Tentacle,Main Game,Adventure | Point-and-click,Comedy | Fantasy | Historical | Science fiction,Single player,Amiga | DOS | Mac,5.5,1377.0,True
1993,3,1741,Mega Man X,Main Game,Adventure | Platform | Shooter,Action | Science fiction,Single player,DOS | New Nintendo 3DS | Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U | iOS,5.5,883.0,True
1993,4,1028,The Legend of Zelda: Link's Awakening,Main Game,Adventure | Puzzle,Action | Fantasy,Single player,Game Boy,5.5,693.0,True
1993,5,3216,Secret of Mana,Main Game,Adventure | Role-playing (RPG),Action | Fantasy | Open world,Co-operative | Multiplayer | Single player,Android | Super Famicom | Super NES CD-ROM System | Super Nintendo Entertainment System | Wii | Wii U | iOS,5.5,639.0,True
1993,6,330,SimCity 2000,Main Game,Simulator | Strategy,Business | Sandbox,Single player,Amiga | DOS | FM Towns | Game Boy Advance | Legacy Computer | Mac | PC (Microsoft Windows) | PC-9800 Series | PlayStation | PlayStation 3 | PlayStation Portable | Sega Saturn | Super Famicom | Super Nintendo Entertainment System | Windows Mobile,1.0,626.0,True
1993,7,3717,Kirby's Adventure,Main Game,Platform,Action | Fantasy | Kids,Single player,Family Computer | Nintendo Entertainment System | Wii | Wii U,5.5,592.0,True
1993,8,2473,Disney's Aladdin,Main Game,Adventure | Arcade | Platform,Action,Single player,Game Boy Advance | Mac | PC (Microsoft Windows) | Super Famicom | Super Nintendo Entertainment System,5.5,576.0,True
1993,9,8118,Disney's Aladdin,Main Game,Platform,Action | Comedy | Fantasy,Single player,Amiga | DOS | Linux | Mac | PC (Microsoft Windows) | Sega Mega Drive/Genesis,5.5,571.0,True
1993,10,236,Myst,Main Game,Adventure | Point-and-click | Puzzle,Fantasy | Mystery | Science fiction,Single player,3DO Interactive Multiplayer | Amiga | Atari 2600 | Atari Jaguar CD | LaserActive | Mac | PC (Microsoft Windows) | Philips CD-i | PlayStation | PlayStation 3 | PlayStation Portable | Sega Saturn | Windows Mobile | Windows Phone,5.5,565.0,True
1993,11,5452,Sonic CD,Main Game,Platform,Action | Science fiction,Single player,PC (Microsoft Windows) | Sega CD,5.5,511.0,True
1993,12,8581,Star Fox,Main Game,Shooter,Action | Science fiction,Single player,Super Famicom | Super Nintendo Entertainment System,5.5,499.0,True
1993,13,202,Sam & Max Hit the Road,Main Game,Adventure | Point-and-click | Puzzle,Comedy | Science fiction,Single player,DOS | Linux | Mac | PC (Microsoft Windows),5.5,474.0,True
1993,14,2162,Zombies Ate My Neighbors,Main Game,Hack and slash/Beat 'em up | Shooter,Action | Comedy | Horror | Science fiction,Co-operative | Multiplayer | Single player,Sega Mega Drive/Genesis | Super Nintendo Entertainment System | Wii,5.5,315.0,True
1993,15,1139,Castlevania: Rondo of Blood,Main Game,Adventure | Hack and slash/Beat 'em up | Platform,Action | Horror,Single player,PlayStation Portable | Turbografx-16/PC Engine CD | Wii,5.5,312.0,True
1994,1,1103,Super Metroid,Main Game,Adventure | Platform | Shooter,Action | Science fiction | Thriller,Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,3157.0,True
1994,2,426,Final Fantasy III,Main Game,Adventure | Role-playing (RPG),Fantasy | Open world | Sandbox,Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,2266.0,True
1994,3,1090,Donkey Kong Country,Main Game,Platform,Action,Co-operative | Multiplayer | Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,1795.0,True
1994,4,2899,EarthBound,Main Game,Adventure | Role-playing (RPG) | Turn-based strategy (TBS),Action | Drama | Fantasy | Science fiction,Single player,Game Boy Advance | New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii U,4.0,1695.0,True
1994,5,312,Doom II: Hell on Earth,Main Game,Shooter,Action | Horror | Science fiction,Co-operative | Multiplayer | Single player,DOS | Mac | PC (Microsoft Windows) | PC-9800 Series | Tapwave Zodiac,5.5,1589.0,True
1994,6,1619,Mortal Kombat II,Main Game,Arcade | Fighting,Action | Fantasy | Horror,Multiplayer | Single player,Amiga | Arcade | DOS | PlayStation | PlayStation 3 | Sega 32X | Sega Mega Drive/Genesis | Sega Saturn | Super Nintendo Entertainment System,5.5,987.0,True
1994,7,6797,Sonic the Hedgehog 3,Main Game,Adventure | Platform,Action,Co-operative | Multiplayer | Single player | Split screen,Sega Mega Drive/Genesis | Wii | Xbox 360,5.5,855.0,True
1994,8,3166,The Lion King,Main Game,Platform | Puzzle,Action | Kids,Single player,Amiga | DOS | Linux | Mac | PC (Microsoft Windows) | Sega Mega Drive/Genesis | Super Famicom | Super Nintendo Entertainment System,5.5,736.0,True
1994,9,3480,Earthworm Jim,Main Game,Platform | Shooter,Action | Comedy | Science fiction,Single player,Sega Mega Drive/Genesis | Wii,5.5,668.0,True
1994,10,129,Warcraft: Orcs & Humans,Main Game,Real Time Strategy (RTS) | Strategy,Fantasy,Multiplayer | Single player,DOS | Mac | PC (Microsoft Windows) | PC-9800 Series,2.0,516.0,True
1994,11,1742,Mega Man X2,Main Game,Platform | Shooter,Action | Science fiction,Single player,New Nintendo 3DS | Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,465.0,True
1994,12,1242,Tekken,Main Game,Fighting,Action,Multiplayer | Single player,Arcade,5.5,409.0,True
1994,13,24,X-COM: UFO Defense,Main Game,Strategy | Tactical | Turn-based strategy (TBS),Horror | Science fiction | Warfare,Single player,Amiga | Amiga CD32 | DOS | PC (Microsoft Windows) | PlayStation,2.0,404.0,True
1994,14,1072,Wario Land: Super Mario Land 3,Main Game,Platform,Action,Single player,Game Boy | Nintendo 3DS,5.5,378.0,True
1994,15,2907,Killer Instinct,Main Game,Fighting,Action | Fantasy | Science fiction,Multiplayer | Single player,Arcade,5.5,336.0,True
1995,1,1802,Chrono Trigger,Main Game,Role-playing (RPG),Fantasy | Open world | Science fiction,Single player,Satellaview | Super Famicom | Super Nintendo Entertainment System | Wii,5.5,4102.0,True
1995,2,1073,Super Mario World 2: Yoshi's Island,Main Game,Platform,Action | Fantasy | Kids,Multiplayer | Single player,Satellaview | Super Famicom | Super Nintendo Entertainment System,5.5,2134.0,True
1995,3,1092,Donkey Kong Country 2: Diddy's Kong Quest,Main Game,Platform,Action | Comedy | Fantasy,Multiplayer | Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,1467.0,True
1995,4,130,Warcraft II: Tides of Darkness,Main Game,Real Time Strategy (RTS) | Strategy,Fantasy,Multiplayer | Single player,DOS | Mac,2.0,1153.0,True
1995,5,647,Command & Conquer,Main Game,Real Time Strategy (RTS) | Strategy,Science fiction | Warfare,Multiplayer | Single player,DOS | Mac | Nintendo 64 | PC (Microsoft Windows) | PlayStation | Sega Saturn,2.0,1005.0,True
1995,6,1620,Mortal Kombat 3,Main Game,Fighting,Action,Multiplayer | Single player,Arcade | DOS | PC (Microsoft Windows) | PlayStation | Sega Mega Drive/Genesis | Super Nintendo Entertainment System,5.5,694.0,True
1995,7,1963,Rayman,Main Game,Adventure | Platform,Action,Single player,PlayStation | PlayStation 3 | PlayStation Portable | Sega Saturn,5.5,662.0,True
1995,8,9331,Worms,Main Game,Strategy,Action | Comedy | Warfare,Multiplayer | Single player,Amiga | Amiga CD32 | Atari Jaguar | DOS | Mac | PC (Microsoft Windows) | PlayStation | PlayStation 4 | PlayStation 5 | PlayStation Portable | Sega Mega Drive/Genesis | Sega Saturn | Super Nintendo Entertainment System,2.0,629.0,True
1995,9,1243,Tekken 2,Main Game,Fighting,Action,Multiplayer | Single player,Arcade,5.5,595.0,True
1995,10,180,Full Throttle,Main Game,Adventure | Point-and-click | Puzzle,Comedy | Science fiction,Single player,DOS | Mac | PC (Microsoft Windows),5.5,553.0,True
1995,11,157,Star Wars: Dark Forces,Main Game,Shooter,Action | Science fiction,Single player,DOS | Mac | PC (Microsoft Windows) | PlayStation | PlayStation 3 | PlayStation Portable,5.5,495.0,True
1995,12,3071,Comix Zone,Main Game,Arcade | Hack and slash/Beat 'em up | Puzzle,Action | Comedy,Single player,Android | Game Boy Advance | Linux | Mac | PC (Microsoft Windows) | PlayStation 3 | Sega Mega Drive/Genesis | Wii | Xbox 360,5.5,408.0,True
1995,13,1743,Mega Man X3,Main Game,Adventure | Platform | Shooter,Action | Science fiction,Single player,Legacy Mobile Device | New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii U,5.5,381.0,True
1995,14,207,The Dig,Main Game,Adventure | Point-and-click | Puzzle,Science fiction,Single player,DOS | Linux | Mac | PC (Microsoft Windows),5.5,355.0,True
1995,15,3481,Earthworm Jim 2,Main Game,Platform | Shooter,Action | Comedy | Science fiction,Single player,Sega Mega Drive/Genesis | Wii,5.5,354.0,True
1996,1,1074,Super Mario 64,Main Game,Adventure | Platform,Action | Fantasy | Open world,Single player,Nintendo 64 | Wii | Wii U,5.5,6115.0,True
1996,2,1185,Crash Bandicoot,Main Game,Platform,Action | Science fiction,Single player,Android | PlayStation | PlayStation 3 | PlayStation Portable | PlayStation Vita,5.5,2110.0,True
1996,3,2342,Mario Kart 64,Main Game,Arcade | Racing,Action | Kids | Party,Multiplayer | Single player | Split screen,Nintendo 64 | Wii | Wii U,4.0,1804.0,True
1996,4,1561,Pokémon Red Version,Main Game,Adventure | Role-playing (RPG) | Turn-based strategy (TBS),Action | Fantasy | Kids | Open world,Multiplayer | Single player,Game Boy | Nintendo 3DS,4.0,1786.0,True
1996,5,125,Diablo,Main Game,Role-playing (RPG) | Strategy,Action | Fantasy | Historical | Horror,Co-operative | Multiplayer | Single player,Mac | PC (Microsoft Windows) | PlayStation,4.0,1785.0,True
1996,6,1511,Pokémon Blue Version,Main Game,Adventure | Role-playing (RPG) | Turn-based strategy (TBS),Fantasy | Kids | Open world,Multiplayer | Single player,Game Boy | Nintendo 3DS,4.0,1446.0,True
1996,7,912,Tomb Raider,Main Game,Adventure | Platform | Puzzle | Shooter,Action | Sandbox | Survival,Single player,DOS | Nintendo 64 | PC (Microsoft Windows) | PlayStation | PlayStation 3 | PlayStation Portable | Sega Saturn,5.5,1417.0,True
1996,8,342,Duke Nukem 3D,Main Game,Puzzle | Shooter,Action | Comedy | Science fiction,Multiplayer | Single player,DOS | Mac | PC (Microsoft Windows),5.5,1342.0,True
1996,9,424,Resident Evil,Main Game,Adventure | Puzzle | Shooter,Action | Horror | Survival,Single player,PlayStation,5.5,1323.0,True
1996,10,333,Quake,Main Game,Shooter,Action | Horror | Science fiction,Co-operative | Multiplayer | Single player,Amiga | DOS | Legacy Mobile Device | Linux | Mac | PC (Microsoft Windows) | Sega Saturn | Zeebo,5.5,1188.0,True
1996,11,295,Command & Conquer: Red Alert,Main Game,Real Time Strategy (RTS) | Strategy,Historical | Science fiction | Warfare,Multiplayer | Single player,DOS | PC (Microsoft Windows) | PlayStation | PlayStation 3 | PlayStation Portable,2.0,1098.0,True
1996,12,1404,Metal Slug,Main Game,Arcade | Platform | Shooter,Action | Comedy,Co-operative | Multiplayer | Single player,Android | Arcade | Linux | Mac | Neo Geo AES | Neo Geo CD | PC (Microsoft Windows) | PlayStation 3 | PlayStation Portable | Wii | iOS,5.5,834.0,True
1996,13,1094,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Main Game,Platform,Action,Multiplayer | Single player,New Nintendo 3DS | Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,732.0,True
1996,14,5418,Super Mario RPG: Legend of the Seven Stars,Main Game,Adventure | Role-playing (RPG),Action | Comedy | Fantasy | Kids,Single player,Super Famicom | Super Nintendo Entertainment System | Wii | Wii U,5.5,700.0,True
1996,15,616,Circle of Blood,Main Game,Adventure | Point-and-click | Puzzle,Fantasy | Historical | Mystery | Thriller,Single player,DOS | Mac | PC (Microsoft Windows) | PlayStation,5.5,572.0,True
1997,1,1128,Castlevania: Symphony of the Night,Main Game,Adventure | Platform | Role-playing (RPG),Action | Horror | Open world,Single player,PlayStation | PlayStation 3 | PlayStation Portable | Xbox 360,5.5,2490.0,True
1997,2,289,Age of Empires,Main Game,Strategy,Historical | Warfare,Multiplayer | Single player,Mac | PC (Microsoft Windows),2.0,2034.0,True
1997,3,13,Fallout: A Post Nuclear Role Playing Game,Main Game,Role-playing (RPG),Open world | Science fiction | Stealth | Survival,Single player,DOS | Linux | Mac | OnLive Game System | PC (Microsoft Windows),5.5,1947.0,True
1997,4,1244,Tekken 3,Main Game,Arcade | Fighting,Action,Multiplayer | Single player,Arcade,5.5,1662.0,True
1997,5,1186,Crash Bandicoot 2: Cortex Strikes Back,Main Game,Adventure | Platform,Action | Comedy | Fantasy | Science fiction,Single player,Android | PlayStation | PlayStation 3 | PlayStation Portable,5.5,1596.0,True
1997,6,980,Grand Theft Auto,Main Game,Adventure | Racing | Shooter,Action | Open world | Sandbox,Multiplayer | Single player,DOS | Nintendo 64 | PC (Microsoft Windows) | PlayStation,4.0,1477.0,True
1997,7,1638,GoldenEye 007,Main Game,Shooter,Action | Stealth,Multiplayer | Single player | Split screen,Nintendo 64,5.5,1251.0,True
1997,8,286,Quake II,Main Game,Shooter,Action | Horror | Science fiction,Co-operative | Multiplayer | Single player,Amiga | Linux | Mac | PC (Microsoft Windows) | PlayStation | Xbox 360 | Zeebo,5.5,984.0,True
1997,9,1156,Tomb Raider II,Main Game,Adventure | Platform | Puzzle | Shooter,Action,Single player,Mac | PC (Microsoft Windows) | PlayStation | PlayStation 3 | PlayStation Portable,5.5,972.0,True
1997,10,62,The Curse of Monkey Island,Main Game,Adventure | Point-and-click | Puzzle,Comedy | Fantasy | Historical,Single player,Mac | PC (Microsoft Windows),5.5,963.0,True
1997,11,1594,Gran Turismo,Main Game,Racing | Simulator,Non-fiction,Multiplayer | Single player | Split screen,PlayStation,1.0,873.0,True
1997,12,2591,Star Fox 64,Main Game,Shooter,Action | Science fiction,Multiplayer | Single player | Split screen,Nintendo 64 | Wii | Wii U,5.5,835.0,True
1997,13,999,Oddworld: Abe's Oddysee,Main Game,Adventure | Platform | Puzzle,Action | Comedy | Science fiction | Stealth,Multiplayer | Single player,DOS | OnLive Game System | PC (Microsoft Windows) | PlayStation | PlayStation 3 | PlayStation Portable,5.5,753.0,True
1997,14,1624,Theme Hospital,Main Game,Real Time Strategy (RTS) | Simulator | Strategy,Business | Comedy,Multiplayer | Single player,DOS | PC (Microsoft Windows),2.0,665.0,True
