period,Innocent,Everyman/Orphan,Hero/Warrior,Caregiver/Guardian,Explorer/Seeker,Rebel/Outlaw,Lover,Creator/Artist,Jester/Trickster,Sage/Investigator,Magician/Transformer,Ruler/Leader
1970--1974,,,,,,,,,,,,
1975--1979,,,,,,,,,,,,
1980--1984,0.0,3.09167520635929,22.15306603484748,0.0,36.19924936428169,7.386057584764612,0.0,0.0,12.324114714576037,3.693028792382306,15.1528083027886,0.0
1985--1989,1.4647880870178533,7.494226466585705,21.74199916069055,1.070170912752445,23.760102418801676,6.429176102210368,7.476067311136347,0.0,9.627756905966828,10.056990552872772,4.622700837511934,6.256021244453525
1990--1994,4.149335703283982,5.249741886174437,25.903643595585464,0.0,25.780073369530843,6.408374658143664,1.194510366080311,0.6539263446439286,6.5545818104328735,12.334467266927659,4.409030986307613,7.362314012889224
1995--1999,2.526981483856808,6.83881531638732,27.643079598548397,0.6386727273806703,18.460247214988133,9.981668945049066,1.5474887953161143,1.5150094106232272,5.840044818837121,10.73536639772791,5.2744891487052445,8.998136142579996
2000--2004,1.5009102156328609,4.9514593209341005,27.330199057570653,0.6831762482210754,18.756830447914652,11.953197796304854,1.0789008926588923,1.8479458447221468,4.037556736547216,10.776802381015187,5.056101249195439,12.026919809282912
2005--2009,1.345349605667568,7.635049874213773,27.079313807959828,1.485494495151693,17.258762883053905,9.778886020298122,0.8303319831455953,3.267275376323115,5.210667875493104,11.486060354571881,4.678613512914076,9.944194211207352
2010--2014,2.5340889686935717,10.027442665439521,22.772120873601644,1.9548038305494495,18.3169888568849,8.690982528265955,2.147095519838823,4.949355262599966,6.816967519551466,9.60947628311105,5.187475069184833,6.99320262227882
2015--2019,2.792864780400304,12.224296122990475,19.758892306142013,2.438573029860357,18.133788707515485,9.106633030026769,3.4428706094784065,4.823850307879917,7.042883174126696,8.088807957134335,6.209989328747099,5.936550645698149
2020--2024,2.911555420529503,13.137230629853654,18.63398159766211,3.2182504489845916,17.106782882469414,8.80051421514588,3.7272198598233186,5.929722074184592,6.2606116182295235,7.602832628109624,6.563628343038156,6.107670281969623
