population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,blend_equal_log,2020s,Sage/Investigator,7.04895231207517
all_rows_missing_visibility_equal,blend_equal_log,2020s,Uncertain,2.330801820610453
all_rows_missing_visibility_equal,equal,1980s,Caregiver/Guardian,3.5172721180724738
all_rows_missing_visibility_equal,equal,1980s,Creator/Artist,3.7433456175506477
all_rows_missing_visibility_equal,equal,1980s,Everyman/Orphan,5.208471521697475
all_rows_missing_visibility_equal,equal,1980s,Explorer/Seeker,23.29467230595085
all_rows_missing_visibility_equal,equal,1980s,Hero/Warrior,38.547813924839346
all_rows_missing_visibility_equal,equal,1980s,Innocent,0.7022176713350007
all_rows_missing_visibility_equal,equal,1980s,Jester/Trickster,0.8092035907952362
all_rows_missing_visibility_equal,equal,1980s,Lover,1.1074680641254746
all_rows_missing_visibility_equal,equal,1980s,Magician/Transformer,6.704378798792891
all_rows_missing_visibility_equal,equal,1980s,Rebel/Outlaw,1.7019586504927644
all_rows_missing_visibility_equal,equal,1980s,Ruler/Leader,5.344700556044966
all_rows_missing_visibility_equal,equal,1980s,Sage/Investigator,9.38428940293491
all_rows_missing_visibility_equal,equal,1980s,Uncertain,0.15128136447491028
all_rows_missing_visibility_equal,equal,1990s,Caregiver/Guardian,3.682268455071889
all_rows_missing_visibility_equal,equal,1990s,Creator/Artist,3.85523450904651
all_rows_missing_visibility_equal,equal,1990s,Everyman/Orphan,5.027185259695223
all_rows_missing_visibility_equal,equal,1990s,Explorer/Seeker,25.385873819812456
all_rows_missing_visibility_equal,equal,1990s,Hero/Warrior,32.48502344996875
all_rows_missing_visibility_equal,equal,1990s,Innocent,1.8514993649835663
all_rows_missing_visibility_equal,equal,1990s,Jester/Trickster,2.1943349867542032
all_rows_missing_visibility_equal,equal,1990s,Lover,2.276736594668321
all_rows_missing_visibility_equal,equal,1990s,Magician/Transformer,7.065350041856864
all_rows_missing_visibility_equal,equal,1990s,Rebel/Outlaw,1.855480840452674
all_rows_missing_visibility_equal,equal,1990s,Ruler/Leader,5.623888749353632
all_rows_missing_visibility_equal,equal,1990s,Sage/Investigator,8.521503024153395
all_rows_missing_visibility_equal,equal,1990s,Uncertain,0.1951343379805726
all_rows_missing_visibility_equal,equal,2000s,Caregiver/Guardian,3.5360754331096915
all_rows_missing_visibility_equal,equal,2000s,Creator/Artist,3.5551538951215207
all_rows_missing_visibility_equal,equal,2000s,Everyman/Orphan,5.922717648142411
all_rows_missing_visibility_equal,equal,2000s,Explorer/Seeker,26.853944524390222
all_rows_missing_visibility_equal,equal,2000s,Hero/Warrior,29.6440305228503
all_rows_missing_visibility_equal,equal,2000s,Innocent,1.9670253988764745
all_rows_missing_visibility_equal,equal,2000s,Jester/Trickster,2.774488454181829
all_rows_missing_visibility_equal,equal,2000s,Lover,3.609249797552336
all_rows_missing_visibility_equal,equal,2000s,Magician/Transformer,5.662683667013232
all_rows_missing_visibility_equal,equal,2000s,Rebel/Outlaw,2.4980311627822718
all_rows_missing_visibility_equal,equal,2000s,Ruler/Leader,5.056704594021757
all_rows_missing_visibility_equal,equal,2000s,Sage/Investigator,8.471249004650543
all_rows_missing_visibility_equal,equal,2000s,Uncertain,0.44864589730741
all_rows_missing_visibility_equal,equal,2010s,Caregiver/Guardian,2.739797078025391
all_rows_missing_visibility_equal,equal,2010s,Creator/Artist,4.13520068557279
